Age,White,Black,Hispanic,Asian
1,0,6821,0,0
2,5107,0,0,0
3,15435,619,1002,0
4,5859,1650,1895,0
5,23417,5095,0,0
6,4276,3267,6912,2477
7,66824,3074,9896,0
8,183361,15144,78813,0
9,245632,29276,39256,0
10,459369,90082,129985,656
11,660320,241177,194281,9698
12,2736068,451917,734240,40414
13,4539693,773593,1061761,63689
14,6514843,1029932,1527962,100045
15,9521940,1266524,1693930,298285
16,13206540,1979588,2064407,511791
17,8783134,1211361,1528649,383883
18,11570874,2246804,1919609,473617
19,5836030,704579,780212,241438
20,5083811,832532,555063,273316
21,3457047,679323,642124,303868
22,2467393,436463,362802,173959
23,1488133,312079,201103,131822
24,1038191,181920,245609,107746
25,2122935,487062,330428,147282
26,704283,116741,157863,103629
27,280299,82710,111183,30512
28,492425,102437,67425,34093
29,298535,24342,26409,33828
30,1111892,142739,149854,28073
31,180394,6332,5325,2133
32,190804,46997,52117,6971
33,237398,29666,29287,12613
34,99096,1305,63379,11828
35,663367,45844,67814,41666
36,94761,30876,41463,7368
37,158243,0,4306,755
38,198018,22482,17371,0
39,60591,11004,11706,0
40,178762,95220,36592,8605
41,41866,6368,18478,0
42,59973,77851,31622,0
43,37169,617,0,0
44,19794,0,0,0
45,137660,11688,31525,0
46,65530,0,0,0
47,47066,0,17235,0
48,53687,0,1,0
49,0,0,24807,0
50,160326,35902,19123,0
52,31487,0,0,0
53,27917,0,0,0
54,23254,0,0,0
55,34190,0,0,2172
56,31909,0,0,0
57,30934,0,0,0
58,28287,0,0,0
59,4196,0,0,0
60,117096,0,0,0
61,37090,0,0,0
62,11045,0,24489,0
63,39083,0,0,0
65,47492,0,0,0
67,31662,0,0,0
69,36416,0,0,0
70,29582,0,0,0
71,0,0,5890,0
72,3007,0,0,0
73,26690,0,0,0
74,12856,0,0,0
77,1473,0,0,0
79,6783,0,0,0
81,2108,0,0,0
