Age,Less High School,High School Grad,Som coll/Assoc Dg,College Graduate
1,4034,0,2991,0
2,5107,0,0,0
3,1002,619,0,15435
4,4651,4062,0,0
5,9842,11288,10406,6631
6,3398,9980,4696,4276
7,29355,32208,31563,6951
8,59341,151854,55575,14539
9,72838,153350,99678,44337
10,143851,172301,202596,147446
11,214490,327666,397275,180666
12,648161,1133308,1458116,661805
13,752851,1878731,2214573,1337836
14,1134904,2330115,3132061,2039535
15,1263809,3330705,4287984,3369483
16,1612475,4738112,6331666,5163462
17,763849,2639434,4898979,3884058
18,1087440,3539734,5623637,6341957
19,505282,1202751,2669873,3374584
20,292381,1133680,2227339,3200240
21,251005,983000,1792383,2208999
22,220146,553959,1035742,1684363
23,108170,294812,652119,1166158
24,202732,329694,496339,613588
25,317936,676841,940616,1267274
26,64887,187349,327315,534552
27,53151,75519,149114,247003
28,53391,97204,275991,324297
29,9209,59409,58170,256980
30,161361,314984,415649,572265
31,0,75779,37575,81533
32,33365,49438,134738,82587
33,0,21637,152120,148238
34,18015,35640,85265,48288
35,32580,231141,275986,329464
36,0,49916,49663,74889
37,27948,12032,51839,71637
38,7281,43906,142595,45888
39,10832,2320,14064,56085
40,41864,70224,135625,87198
41,4841,0,6916,54955
42,2926,3981,13209,79331
43,0,5602,18749,14679
44,0,1946,9415,8433
45,16,106396,18899,55578
46,0,4540,17784,43895
47,1071,26636,14693,21901
48,8711,0,24004,21972
49,0,0,24807,0
50,16293,66602,71267,80933
52,0,3744,0,27743
53,7929,0,13019,6969
54,0,0,0,23254
55,9890,18475,2340,5657
56,0,0,17100,17769
57,0,0,3189,27744
58,0,0,0,28287
59,0,4196,0,0
60,4806,40768,76327,0
61,0,0,0,37090
62,0,0,24489,11045
63,0,0,21672,17411
65,0,3847,43645,0
67,0,0,18119,13544
69,0,0,17689,18727
70,0,5993,20030,3559
71,0,5890,0,0
72,0,3007,0,0
73,0,26690,0,0
74,0,0,0,12856
77,0,1473,0,0
79,0,0,6783,0
81,0,0,2108,0
